Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
cotton-cap-mantri-mall,Cotton cap,,,Accessories,,"Accessories, baby, Mantri Mall",TRUE,Size,008,,,,,,,shopify,2000.0,deny,manual,399.00,,,,,https://image.hm.com/assets/hm/aa/bb/aabb0e824834f5346787f4605f363d809d6a49a9.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
cotton-cap-mantri-mall,,,,,,,,Size,011,,,,,,,shopify,1000.0,deny,manual,399.00,,,,,https://image.hm.com/assets/hm/f7/94/f79427826074a0c4e536d49d798aeb8ec4bddbee.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
cotton-cap-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/29/52/2952d66c691a47250eb90c99fa1e7dd0fbee3192.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
cotton-cap-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/8a/94/8a94650d65f62e119cb3b55c8fde12b481f684b6.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
cotton-sun-hat-mantri-mall,Cotton sun hat,,,Accessories,,"Accessories, baby, Mantri Mall",TRUE,Size,005,,,,,,,shopify,1000.0,deny,manual,499.00,,,,,https://image.hm.com/assets/hm/59/df/59dfc5fcc8b3c24b74109aa933461030bc271ab6.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
cotton-sun-hat-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/40/30/403072aeafd1952d56b3d9aab76a768eb5dc31d3.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
skinny-fit-jeans-mantri-mall,Skinny Fit Jeans,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,004,,,,,,,shopify,1000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/7f/63/7f63bb82b3d64deacac27bea30bb339a1cf3f7b2.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
skinny-fit-jeans-mantri-mall,,,,,,,,Size,006,,,,,,,shopify,1000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/4e/38/4e386e6239231ddaaa7970816dc919d85aee3a17.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
skinny-fit-jeans-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/3b/6a/3b6a89a944d8ad6ab1113c32ba992a9c68394aec.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
long-sleeved-bodysuit-mantri-mall,Long-sleeved bodysuit,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,006,,,,,,,shopify,2000.0,deny,manual,399.00,,,,,https://image.hm.com/assets/hm/f1/9d/f19d294f4f62870d10610098999d522fcf285a78.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
