Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
0910283020-1mg-mall,Quilted shoulder bag,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,5000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/9d/b6/9db6d28df3fcece682115863ed3af35cf0de5d82.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
0910283020-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/4c/63/4c634e2d94f7ab1c864a840ad51c5e080c8bb4da.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
0910283020-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/96/b5/96b57e75fb08cbcd2308ee835410165b761e7ea6.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
0910283020-prestige-falcon-city,Quilted shoulder bag,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,7000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/9d/b6/9db6d28df3fcece682115863ed3af35cf0de5d82.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
0910283020-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/4c/63/4c634e2d94f7ab1c864a840ad51c5e080c8bb4da.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
0910283020-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/96/b5/96b57e75fb08cbcd2308ee835410165b761e7ea6.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1213504003-1mg-mall,Iridescent backpack with appliqués,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,3000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/6f/3f/6f3fd05d51caeb345361a472a9ab0859fc3e797f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1213504003-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/d9/c3/d9c31afdb7f877cfe10e3e5fd20e72f2177c2219.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1213504003-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/88/a4/88a4ac8d040a9ea198453eb92a51131124f78231.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1213504003-mantri-mall,Iridescent backpack with appliqués,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,4000.0,deny,manual,1499.00,,,,,https://image.hm.com/assets/hm/6f/3f/6f3fd05d51caeb345361a472a9ab0859fc3e797f.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
